ROI,Feature,EffectSize,ROI_Name,Network
35,HFD,-0.1667292739631485,Schaefer2018_17Networks_LH_SomMotA_12,SomMotA
35,Spectral_Slope,-0.047379896226474455,Schaefer2018_17Networks_LH_SomMotA_12,SomMotA
36,DFA,-0.22509739191391348,Schaefer2018_17Networks_LH_SomMotA_13,SomMotA
36,HFD,0.15242553511881465,Schaefer2018_17Networks_LH_SomMotA_13,SomMotA
36,Spectral_Slope,-0.24143766038324355,Schaefer2018_17Networks_LH_SomMotA_13,SomMotA
37,DFA,0.09805784336627989,Schaefer2018_17Networks_LH_SomMotA_14,SomMotA
37,HFD,-0.18732249806134643,Schaefer2018_17Networks_LH_SomMotA_14,SomMotA
37,Spectral_Slope,0.0013590015603394995,Schaefer2018_17Networks_LH_SomMotA_14,SomMotA
38,DFA,0.13084892806335754,Schaefer2018_17Networks_LH_SomMotA_15,SomMotA
38,HFD,-0.06499726598162275,Schaefer2018_17Networks_LH_SomMotA_15,SomMotA
38,Spectral_Slope,0.02196760490904202,Schaefer2018_17Networks_LH_SomMotA_15,SomMotA
39,DFA,-0.10825742637188933,Schaefer2018_17Networks_LH_SomMotA_16,SomMotA
39,HFD,0.1372376538511923,Schaefer2018_17Networks_LH_SomMotA_16,SomMotA
39,Spectral_Slope,0.010508409047106619,Schaefer2018_17Networks_LH_SomMotA_16,SomMotA
40,DFA,0.27075344502134724,Schaefer2018_17Networks_LH_SomMotA_17,SomMotA
40,HFD,-0.3262236276545679,Schaefer2018_17Networks_LH_SomMotA_17,SomMotA
40,Spectral_Slope,0.24460987801248482,Schaefer2018_17Networks_LH_SomMotA_17,SomMotA
41,DFA,0.22132546581188833,Schaefer2018_17Networks_LH_SomMotA_18,SomMotA
41,HFD,-0.13501862973250436,Schaefer2018_17Networks_LH_SomMotA_18,SomMotA
41,Spectral_Slope,0.20916415597283883,Schaefer2018_17Networks_LH_SomMotA_18,SomMotA
42,DFA,0.04648471998062314,Schaefer2018_17Networks_LH_SomMotA_19,SomMotA
42,HFD,0.01902467285969391,Schaefer2018_17Networks_LH_SomMotA_19,SomMotA
42,Spectral_Slope,0.11101078287465484,Schaefer2018_17Networks_LH_SomMotA_19,SomMotA
43,DFA,0.5604930065039772,Schaefer2018_17Networks_LH_SomMotB_Aud_1,SomMotB
43,HFD,-0.3463213108430196,Schaefer2018_17Networks_LH_SomMotB_Aud_1,SomMotB
43,Spectral_Slope,0.6607781046843746,Schaefer2018_17Networks_LH_SomMotB_Aud_1,SomMotB
44,DFA,0.4017363016421524,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB
44,HFD,-0.41623009171071357,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB
44,Spectral_Slope,0.5558961279001088,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB
45,DFA,0.6831890919185931,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB
45,HFD,-0.5832598397558348,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB
45,Spectral_Slope,0.6168502712865902,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB
46,DFA,0.2982929775644151,Schaefer2018_17Networks_LH_SomMotB_S2_1,SomMotB
46,HFD,-0.2963672068252549,Schaefer2018_17Networks_LH_SomMotB_S2_1,SomMotB
46,Spectral_Slope,0.10065201565010574,Schaefer2018_17Networks_LH_SomMotB_S2_1,SomMotB
47,DFA,0.1439121897080245,Schaefer2018_17Networks_LH_SomMotB_S2_2,SomMotB
47,HFD,-0.2392498589366347,Schaefer2018_17Networks_LH_SomMotB_S2_2,SomMotB
47,Spectral_Slope,0.03573775270444465,Schaefer2018_17Networks_LH_SomMotB_S2_2,SomMotB
48,DFA,0.15969895736902293,Schaefer2018_17Networks_LH_SomMotB_Aud_6,SomMotB
48,HFD,-0.11999063319376298,Schaefer2018_17Networks_LH_SomMotB_Aud_6,SomMotB
48,Spectral_Slope,0.18293619436281056,Schaefer2018_17Networks_LH_SomMotB_Aud_6,SomMotB
