ROI,Feature,EffectSize,ROI_Name,Network
30,DFA,-0.19764966851495566,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
30,HFD,0.09070718207889662,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
30,Spectral_Slope,-0.06454426060804337,Schaefer2018_17Networks_LH_SomMotA_7,SomMotA
31,DFA,-0.30649024227175947,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
31,HFD,0.422723862492228,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
31,Spectral_Slope,-0.3126256289931873,Schaefer2018_17Networks_LH_SomMotA_8,SomMotA
32,DFA,-0.4014809422407417,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
32,HFD,0.3316173673222787,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
32,Spectral_Slope,-0.2768275571512087,Schaefer2018_17Networks_LH_SomMotA_9,SomMotA
33,DFA,-0.29870372267459827,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
33,HFD,0.12475259631722933,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
33,Spectral_Slope,0.19543039493480976,Schaefer2018_17Networks_LH_SomMotA_10,SomMotA
34,DFA,-0.4327038417368267,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
34,HFD,0.4191997337341022,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
34,Spectral_Slope,-0.3335482450375328,Schaefer2018_17Networks_LH_SomMotA_11,SomMotA
35,DFA,-0.449743609826752,Schaefer2018_17Networks_LH_SomMotA_12,SomMotA
35,HFD,0.44102835531102763,Schaefer2018_17Networks_LH_SomMotA_12,SomMotA
35,Spectral_Slope,-0.1153319769023061,Schaefer2018_17Networks_LH_SomMotA_12,SomMotA
36,DFA,-0.6936201164673529,Schaefer2018_17Networks_LH_SomMotA_13,SomMotA
36,HFD,0.6320215508457476,Schaefer2018_17Networks_LH_SomMotA_13,SomMotA
36,Spectral_Slope,-0.47171649957655215,Schaefer2018_17Networks_LH_SomMotA_13,SomMotA
37,DFA,-0.3651950797600461,Schaefer2018_17Networks_LH_SomMotA_14,SomMotA
37,HFD,0.2555484898796237,Schaefer2018_17Networks_LH_SomMotA_14,SomMotA
37,Spectral_Slope,-0.22730416378819032,Schaefer2018_17Networks_LH_SomMotA_14,SomMotA
38,DFA,0.0004880237900738903,Schaefer2018_17Networks_LH_SomMotA_15,SomMotA
38,HFD,0.2187314335234687,Schaefer2018_17Networks_LH_SomMotA_15,SomMotA
38,Spectral_Slope,-0.08252429076752134,Schaefer2018_17Networks_LH_SomMotA_15,SomMotA
39,DFA,-0.4837639896476689,Schaefer2018_17Networks_LH_SomMotA_16,SomMotA
39,HFD,0.5454669349478345,Schaefer2018_17Networks_LH_SomMotA_16,SomMotA
39,Spectral_Slope,-0.34117689086658765,Schaefer2018_17Networks_LH_SomMotA_16,SomMotA
40,DFA,-0.2992986423664334,Schaefer2018_17Networks_LH_SomMotA_17,SomMotA
40,HFD,0.15659091122287352,Schaefer2018_17Networks_LH_SomMotA_17,SomMotA
40,Spectral_Slope,0.07525419782545699,Schaefer2018_17Networks_LH_SomMotA_17,SomMotA
41,DFA,-0.16373052443793468,Schaefer2018_17Networks_LH_SomMotA_18,SomMotA
41,HFD,0.15910601206705924,Schaefer2018_17Networks_LH_SomMotA_18,SomMotA
41,Spectral_Slope,0.247114117126547,Schaefer2018_17Networks_LH_SomMotA_18,SomMotA
42,DFA,-0.5435554989365721,Schaefer2018_17Networks_LH_SomMotA_19,SomMotA
42,HFD,0.2946891040840597,Schaefer2018_17Networks_LH_SomMotA_19,SomMotA
42,Spectral_Slope,-0.04286736901479533,Schaefer2018_17Networks_LH_SomMotA_19,SomMotA
43,DFA,0.0369068226644941,Schaefer2018_17Networks_LH_SomMotB_Aud_1,SomMotB
43,HFD,-0.2417950154994186,Schaefer2018_17Networks_LH_SomMotB_Aud_1,SomMotB
43,Spectral_Slope,0.3344006562778319,Schaefer2018_17Networks_LH_SomMotB_Aud_1,SomMotB
44,DFA,-0.2574685327644098,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB
44,HFD,0.10625622382585367,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB
44,Spectral_Slope,0.1728946484580138,Schaefer2018_17Networks_LH_SomMotB_Aud_2,SomMotB
45,DFA,0.1755206789810012,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB
45,HFD,-0.37862165911645534,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB
45,Spectral_Slope,0.7245762144011189,Schaefer2018_17Networks_LH_SomMotB_Ins_1,SomMotB
46,DFA,-0.3668613212190434,Schaefer2018_17Networks_LH_SomMotB_S2_1,SomMotB
46,HFD,0.14369461460252556,Schaefer2018_17Networks_LH_SomMotB_S2_1,SomMotB
46,Spectral_Slope,-0.002130023490198052,Schaefer2018_17Networks_LH_SomMotB_S2_1,SomMotB
47,DFA,-0.43007058447511665,Schaefer2018_17Networks_LH_SomMotB_S2_2,SomMotB
47,HFD,0.07011510235340046,Schaefer2018_17Networks_LH_SomMotB_S2_2,SomMotB
47,Spectral_Slope,-0.055113516302194444,Schaefer2018_17Networks_LH_SomMotB_S2_2,SomMotB
48,DFA,-0.22234592541648016,Schaefer2018_17Networks_LH_SomMotB_Aud_6,SomMotB
48,HFD,0.3052662727757005,Schaefer2018_17Networks_LH_SomMotB_Aud_6,SomMotB
48,Spectral_Slope,-0.015455279706391432,Schaefer2018_17Networks_LH_SomMotB_Aud_6,SomMotB
49,DFA,-0.32335224107066307,Schaefer2018_17Networks_LH_SomMotB_Aud_7,SomMotB
49,HFD,0.21898487451363374,Schaefer2018_17Networks_LH_SomMotB_Aud_7,SomMotB
