feature,group1,group2,cohens_d,welch_t_stat,welch_df,welch_p_approx,mannwhitney_u,mannwhitney_p,mean_group1,mean_group2,median_group1,median_group2,n_group1,n_group2,fdr_welch_p,fdr_mannwhitney_p
Hrange,CN,MCI,-0.25020167830389617,-1.5955523739487822,96.73932576375957,0.11058876792607464,3676.0,0.10241684680423413,0.28863268386266777,0.2964974716057266,0.28530946133703133,0.29663046281961764,154,56,0.4990108805867175,0.6145010808254048
Htrend,MCI,Dementia,-0.24114918565829013,-1.1190275442974669,48.726039008761184,0.2631283883879725,462.0,0.39380958321258874,-0.0017872206954268268,0.00011364183689739462,-0.00066594983528185,0.0001049743776413,56,19,0.45107723723652426,0.6751021426501521
Hvar,CN,MCI,-0.23984222561189195,-1.5351266544606559,97.40913398797596,0.12475272014667937,3615.0,0.07347063065340365,0.008305281063791192,0.00881698064982447,0.007839661235715351,0.0084019626195479,154,56,0.4990108805867175,0.6145010808254048
Hrange,CN,Dementia,-0.1816369180263184,-0.9343178880057593,26.626922711915537,0.3501399397457017,1226.0,0.24989376416359743,0.28863268386266777,0.2941934387826781,0.28530946133703133,0.2941022196810876,154,19,0.6002398967069171,0.37484064624539615
Hvar,MCI,Dementia,0.1526651807335671,0.7069978380711777,48.479897073549566,0.4795678212968111,517.0,0.855011718452849,0.00881698064982447,0.00851489059313682,0.0084019626195479,0.0085449630900087,56,19,0.7193517319452166,0.9417336553130312
Graph_StdDegree,CN,MCI,0.10794155381125493,0.6878223520177477,96.60086344519785,0.4915646585543103,3984.0,0.3996178104159407,74.25195063340064,72.22333407064328,78.01572735083472,77.57954835533545,154,56,0.8315604120576555,0.8117507844826214
Hvar,CN,Dementia,-0.10144885286988932,-0.580240107600348,29.7612300714931,0.5617527101383779,1222.0,0.24199010700378487,0.008305281063791192,0.00851489059313682,0.007839661235715351,0.0085449630900087,154,19,0.8426290652075669,0.37484064624539615
Spectral_Slope,CN,MCI,0.09995517592470479,0.593153027992619,85.41554414575285,0.5530787447878664,4149.0,0.675520183447742,0.5329228450229415,0.5124178632298524,0.5215057810952257,0.5212777875811776,154,56,0.8315604120576555,0.8117507844826214
Graph_Density,CN,MCI,0.098970526871346,0.6363220015349218,98.24115189553694,0.5245665675062836,4093.0,0.5738489666531639,0.44969299918161676,0.43067241423873426,0.4135385958003852,0.3940837155841253,154,56,0.8315604120576555,0.8117507844826214
Graph_MeanDegree,CN,MCI,0.09897052687134582,0.6363220015349207,98.24115189553694,0.5245665675062843,4093.0,0.5738489666531639,194.71706864564007,186.48115536537196,179.0622119815668,170.63824884792626,154,56,0.8315604120576555,0.8117507844826214
Graph_ThresholdScaling,CN,MCI,0.09374069564727751,0.5911832659699081,94.77441799448556,0.5543976337937986,4011.0,0.4395413168887652,-1.4720545442626596,-1.5193516282361814,-1.5122993634664668,-1.606215169509182,154,56,0.8315604120576555,0.8117507844826214
Graph_Entropy,CN,MCI,0.07777788600620035,0.4906552403042193,94.82475068311321,0.6236703090432416,4099.0,0.5843897226672632,5.9604521253352605,5.956757318509495,5.965191847130505,5.959827679521819,154,56,0.8315604120576555,0.8117507844826214
Hrange,MCI,Dementia,0.07714543305834923,0.3362271117886625,41.84723512199178,0.736699609560161,526.0,0.9417336553130313,0.2964974716057266,0.2941934387826781,0.29663046281961764,0.2941022196810876,56,19,0.9485979275044759,0.9417336553130312
Spectral_Slope,CN,Dementia,0.05476073747695337,0.23778311466048152,23.407946293668214,0.8120493156536326,1397.0,0.7486482006094968,0.5329228450229415,0.5223015301962137,0.5215057810952257,0.4954144655807373,154,19,0.9674014784019682,0.9353918199915428
HFD,CN,Dementia,-0.04688988139599293,-0.2173438302737287,24.45572377102391,0.8279404017527432,1447.0,0.9380840829117769,0.9209232325524711,0.922453622690968,0.9237635655632641,0.922325154079059,154,19,0.9674014784019682,0.9380840829117769
Spectral_Slope,MCI,Dementia,-0.045037881577796986,-0.1903887755325668,39.05022905732428,0.8490044926394007,526.0,0.9417336553130313,0.5124178632298524,0.5223015301962137,0.5212777875811776,0.4954144655807373,56,19,0.9485979275044759,0.9417336553130312
Fractal_Dim,CN,MCI,0.042674099964532114,0.26935437631740594,94.92026409347484,0.787656991511321,4149.5,0.6764589870688511,2.178577391378314,2.1776691231893754,2.185698857119232,2.1831274562419756,154,56,0.9237601471149852,0.8117507844826214
Htrend,CN,Dementia,0.02628414842024241,0.14237388557060923,28.01053152593132,0.8867846885351376,1426.0,0.8574425016589142,0.00031448430722939803,0.00011364183689739462,-0.00029914290901554997,0.0001049743776413,154,19,0.9674014784019682,0.9353918199915428
HFD,CN,MCI,-0.02562262938493844,-0.15931946468627176,92.39376781661313,0.873417186020681,4231.0,0.8352227201089757,0.9209232325524711,0.9217866238250917,0.9237635655632641,0.9283178512193242,154,56,0.9237601471149852,0.9111520583007007
HFD,MCI,Dementia,-0.019773254750139878,-0.08291007809009346,38.36079465758138,0.9339230404770296,526.0,0.9417336553130313,0.9217866238250917,0.922453622690968,0.9283178512193242,0.922325154079059,56,19,0.9485979275044759,0.9417336553130312
DFA,MCI,Dementia,-0.015600671335382562,-0.06446757158743444,37.18126971346,0.948597927504476,518.0,0.8645809125326827,0.6904879657524756,0.6915082042271807,0.6987401955486049,0.6741902981526435,56,19,0.9485979275044759,0.9417336553130312
DFA,CN,MCI,0.015427901888274989,0.09569835539005135,92.00131330448758,0.9237601471149852,4302.0,0.9795125761872561,0.6914867405705322,0.6904879657524756,0.6917329861797332,0.6987401955486049,154,56,0.9237601471149852,0.9795125761872562
DFA,CN,Dementia,-0.00034181716278921745,-0.0015414457440685167,23.990022061555912,0.9987701047265423,1421.0,0.8384276448887893,0.6914867405705322,0.6915082042271807,0.6917329861797332,0.6741902981526435,154,19,0.9987701047265422,0.9353918199915428
